"('work_time', 1)","('work_time', 2)","('work_time', 3)","('work_time', 4)","('work_time', 5)","('work_time', 6)","('Mouse_wheel', 1)","('Mouse_wheel', 2)","('Mouse_wheel', 3)","('Mouse_wheel', 4)","('Mouse_wheel', 5)","('Mouse_wheel', 6)","('mouse_wheel_click', 1)","('mouse_wheel_click', 2)","('mouse_wheel_click', 3)","('mouse_wheel_click', 4)","('mouse_wheel_click', 5)","('mouse_wheel_click', 6)","('mouse_click_left', 1)","('mouse_click_left', 2)","('mouse_click_left', 3)","('mouse_click_left', 4)","('mouse_click_left', 5)","('mouse_click_left', 6)","('mouse_click_right', 1)","('mouse_click_right', 2)","('mouse_click_right', 3)","('mouse_click_right', 4)","('mouse_click_right', 5)","('mouse_click_right', 6)","('mouse_movement', 1)","('mouse_movement', 2)","('mouse_movement', 3)","('mouse_movement', 4)","('mouse_movement', 5)","('mouse_movement', 6)","('keystroke', 1)","('keystroke', 2)","('keystroke', 3)","('keystroke', 4)","('keystroke', 5)","('keystroke', 6)",Student Id,Session 2,Session 3,Session 4,Session 5,Session 6,Student ID,"ES 1.1 
(2 points)","ES 1.2 
(3 points)","ES 2.1
(2 points)","ES 2.2
(3 points)","ES 3.1
(1 points)","ES 3.2
(2 points)","ES 3.3
(2 points)","ES 3.4
(2 points)","ES 3.5
(3 points)","ES 4.1
(15 points)","ES 4.2
(10 points)","ES 5.1
(2 points)","ES 5.2
(10 points)","ES 5.3
(3 points)","ES 6.1
(25 points)","ES 6.2
(15 points)","TOTAL
(100 points)",Trecut/Picat
6574.0,8603.0,,5197.0,6872.0,10631.0,450.0,1481.0,,1091.0,1286.0,1511.0,0.0,0.0,,0.0,0.0,0.0,4316.0,4265.0,,2506.0,2887.0,6300.0,294.0,314.0,,18.0,142.0,96.0,324972.0,304793.0,,177938.0,207868.0,471504.0,1184.0,3296.0,,2850.0,3795.0,1795.0,1,5.0,0.0,4.5,4.0,2.25,1,2.0,3.0,1.0,0.5,1.0,2,2.0,2.0,3.0,15.0,10.0,2.0,10.0,3.0,25.0,13.0,94.5,1
4462.0,8723.0,9831.0,4278.0,5263.0,6029.0,0.0,0.0,1379.0,834.0,1577.0,882.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3938.0,5662.0,2126.0,2422.0,3104.0,0.0,98.0,306.0,88.0,166.0,104.0,82.0,73910.0,265941.0,102764.0,131840.0,179267.0,1176.0,5151.0,4949.0,2254.0,3192.0,1546.0,2,4.0,3.5,4.5,4.0,1.0,2,2.0,3.0,2.0,0.5,1.0,2,0.0,2.0,3.0,15.0,2.0,0.0,5.0,1.5,5.0,0.0,44.0,0
,8325.0,9278.0,5285.0,5543.0,,,0.0,0.0,879.0,1428.0,,,0.0,0.0,0.0,0.0,,,2881.0,4004.0,3180.0,3152.0,,,166.0,268.0,220.0,104.0,,,93288.0,166912.0,263773.0,197805.0,,,4330.0,4877.0,2010.0,4753.0,,3,3.5,3.5,4.5,4.0,0.0,3,2.0,3.0,1.0,2.0,1.0,2,2.0,2.0,3.0,15.0,10.0,1.0,5.0,3.0,18.0,15.0,85.0,1
4980.0,7937.0,8667.0,3437.0,5139.0,9382.0,617.0,1542.0,2072.0,489.0,1139.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,2665.0,4643.0,2948.0,1578.0,2040.0,5408.0,50.0,132.0,192.0,100.0,176.0,152.0,262412.0,339230.0,292966.0,129367.0,206644.0,466001.0,1313.0,5490.0,7487.0,2441.0,2733.0,1558.0,5,5.0,4.0,5.0,4.0,2.75,5,2.0,3.0,2.0,1.5,1.0,2,2.0,2.0,3.0,3.0,2.0,1.5,9.0,1.5,2.0,1.0,38.5,0
,8432.0,9548.0,4570.0,6592.0,9025.0,,1948.0,4452.0,1801.0,3803.0,2437.0,,0.0,0.0,0.0,0.0,0.0,,4538.0,3914.0,2442.0,3288.0,5066.0,,358.0,314.0,18.0,182.0,56.0,,253265.0,241396.0,166041.0,260342.0,355854.0,,4176.0,4176.0,2609.0,2803.0,3213.0,6,5.5,3.5,4.5,3.0,3.0,6,2.0,3.0,2.0,3.0,1.0,2,2.0,0.0,3.0,15.0,7.0,2.0,9.0,3.0,13.0,15.0,82.0,1
5355.0,8449.0,9492.0,4955.0,3751.0,9278.0,0.0,2426.0,728.0,342.0,1088.0,1212.0,18.0,0.0,0.0,0.0,2.0,0.0,2480.0,3070.0,3846.0,1203.0,1238.0,3746.0,64.0,184.0,390.0,38.0,86.0,98.0,117007.0,231312.0,159699.0,67502.0,92545.0,254651.0,1879.0,4108.0,5211.0,3270.0,3495.0,901.0,7,4.0,4.0,4.5,4.0,2.0,7,2.0,3.0,1.0,1.5,1.0,2,1.0,1.0,3.0,10.0,7.0,0.5,1.25,1.5,18.5,11.0,65.25,1
,8714.0,9395.0,2663.0,4993.0,,,954.0,2534.0,855.0,617.0,,,0.0,0.0,0.0,0.0,,,2916.0,4220.0,2230.0,1870.0,,,326.0,432.0,36.0,152.0,,,191575.0,194971.0,105374.0,117945.0,,,3788.0,3753.0,555.0,1413.0,,8,4.0,3.5,4.0,3.0,0.0,8,0.5,3.0,0.0,0.0,1.0,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0
3222.0,,8458.0,3402.0,6238.0,10270.0,594.0,,3084.0,957.0,1826.0,0.0,0.0,,0.0,0.0,2.0,0.0,2417.0,,4556.0,1936.0,2430.0,4246.0,292.0,,418.0,20.0,142.0,22.0,125138.0,,215098.0,90966.0,97857.0,124915.0,846.0,,5173.0,1732.0,3590.0,1142.0,9,0.0,3.0,4.0,4.0,2.0,9,2.0,3.0,1.0,0.5,1.0,2,2.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,0
5157.0,7978.0,8641.0,5204.0,5463.0,9313.0,583.0,1309.0,545.0,992.0,2594.0,1349.0,0.0,0.0,4.0,0.0,0.0,0.0,2674.0,4192.0,5013.0,5479.0,4096.0,5386.0,208.0,372.0,428.0,68.0,186.0,110.0,164890.0,245732.0,280370.0,202982.0,188770.0,278471.0,731.0,4359.0,3012.0,2412.0,2744.0,1717.0,10,5.0,4.0,4.5,4.0,3.0,10,2.0,3.0,2.0,1.5,1.0,2,0.0,2.0,3.0,11.0,1.0,2.0,10.0,1.5,7.0,10.0,59.0,1
5809.0,9129.0,10255.0,2762.0,4118.0,9471.0,338.0,1169.0,173.0,551.0,894.0,493.0,0.0,0.0,0.0,0.0,0.0,0.0,2849.0,3270.0,370.0,1617.0,2048.0,5148.0,194.0,346.0,2.0,36.0,166.0,70.0,260427.0,326989.0,30360.0,139666.0,212657.0,414450.0,813.0,3589.0,2669.0,2205.0,1989.0,1220.0,11,4.0,2.0,5.0,4.0,1.5,11,2.0,3.0,1.0,0.5,1.0,2,2.0,2.0,3.0,12.0,3.0,2.0,8.0,1.5,12.0,5.0,60.0,1
5702.0,7914.0,8676.0,4721.0,6964.0,10300.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2958.0,2502.0,2888.0,2196.0,1774.0,3126.0,182.0,172.0,358.0,18.0,104.0,42.0,95278.0,65127.0,76197.0,53262.0,54708.0,82157.0,1518.0,2641.0,4004.0,572.0,2775.0,1175.0,12,3.5,3.5,4.5,4.0,2.0,12,2.0,3.0,0.5,2.0,1.0,2,0.0,2.0,3.0,15.0,2.0,0.5,5.5,2.0,0.0,0.0,40.5,0
5474.0,7608.0,9733.0,3126.0,3587.0,9410.0,0.0,0.0,3040.0,710.0,1472.0,1070.0,0.0,0.0,0.0,0.0,0.0,0.0,3507.0,2580.0,4280.0,1520.0,1759.0,5133.0,224.0,154.0,392.0,8.0,68.0,26.0,131448.0,102054.0,236851.0,98300.0,112036.0,303810.0,1315.0,2848.0,4658.0,1497.0,2244.0,711.0,15,2.0,4.0,5.0,4.0,2.0,15,2.0,3.0,1.0,2.0,1.0,2,2.0,2.0,3.0,15.0,10.0,2.0,4.0,1.5,2.0,15.0,67.5,1
,7993.0,9072.0,3006.0,3983.0,9449.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,586.0,4236.0,2376.0,1890.0,4758.0,,6.0,56.0,2.0,60.0,20.0,,24040.0,155790.0,57850.0,66183.0,169328.0,,4098.0,6134.0,2138.0,3461.0,1458.0,16,3.0,2.5,5.0,4.0,2.0,16,2.0,3.0,1.0,0.0,1.0,2,2.0,2.0,3.0,3.0,9.0,1.0,0.0,3.0,20.0,15.0,67.0,1
1425.0,8625.0,9303.0,5433.0,6957.0,8878.0,0.0,0.0,0.0,1034.0,1554.0,780.0,0.0,0.0,0.0,0.0,0.0,2.0,1152.0,16.0,2374.0,2126.0,2122.0,4118.0,124.0,0.0,300.0,48.0,134.0,70.0,36565.0,1110.0,66355.0,117178.0,151230.0,230502.0,929.0,5713.0,6121.0,2722.0,4713.0,1224.0,17,3.5,3.5,5.0,4.0,4.0,17,2.0,3.0,1.0,2.0,1.0,2,2.0,2.0,3.0,15.0,10.0,2.0,10.0,3.0,24.0,15.0,97.0,1
,7054.0,10620.0,6300.0,4417.0,10446.0,,19.0,0.0,715.0,1271.0,0.0,,0.0,0.0,0.0,0.0,0.0,,2740.0,4139.0,1651.0,1434.0,5063.0,,278.0,406.0,92.0,152.0,68.0,,106116.0,165884.0,127347.0,118989.0,207403.0,,2592.0,5694.0,4063.0,3139.0,1829.0,18,5.0,4.0,4.5,4.0,3.0,18,1.0,3.0,2.0,3.0,1.0,2,2.0,2.0,3.0,15.0,7.0,2.0,2.5,1.5,5.0,10.0,62.0,1
6655.0,8069.0,9145.0,4065.0,6214.0,10248.0,0.0,905.0,5.0,2291.0,913.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3170.0,2878.0,3894.0,2724.0,5007.0,5448.0,62.0,112.0,66.0,176.0,108.0,66.0,144993.0,143636.0,142924.0,212359.0,275452.0,208496.0,1116.0,3053.0,5534.0,883.0,2569.0,935.0,20,3.0,3.0,4.5,3.5,2.0,20,2.0,3.0,2.0,1.5,1.0,2,2.0,2.0,2.25,15.0,10.0,1.0,4.0,3.0,15.0,12.25,78.0,1
5045.0,9287.0,,3056.0,6501.0,,177.0,450.0,,213.0,735.0,,0.0,0.0,,0.0,0.0,,2630.0,3400.0,,1984.0,3194.0,,186.0,384.0,,32.0,164.0,,73515.0,79250.0,,38073.0,58805.0,,1158.0,4577.0,,834.0,3454.0,,22,4.5,0.0,4.0,4.0,0.0,22,2.0,3.0,1.0,0.5,1.0,2,2.0,0.0,3.0,4.0,0.0,0.0,0.0,1.5,10.0,10.0,40.0,0
,9054.0,11057.0,3323.0,6544.0,8891.0,,9.0,1898.0,688.0,1015.0,933.0,,0.0,8.0,0.0,0.0,2.0,,2431.0,3476.0,1508.0,1983.0,3990.0,,174.0,320.0,60.0,164.0,118.0,,127908.0,215610.0,118078.0,192470.0,289785.0,,7699.0,4388.0,882.0,2849.0,2161.0,24,2.5,2.0,4.5,3.5,3.0,24,2.0,3.0,1.0,1.0,1.0,2,2.0,2.0,3.0,13.0,2.5,1.0,5.0,3.0,7.5,2.5,51.5,1
2867.0,9063.0,10339.0,6128.0,4692.0,10480.0,0.0,0.0,0.0,825.0,1309.0,1441.0,0.0,0.0,0.0,0.0,0.0,0.0,1682.0,3162.0,3206.0,1643.0,1372.0,4852.0,98.0,280.0,318.0,34.0,106.0,70.0,76786.0,92128.0,164354.0,108505.0,100003.0,321467.0,100.0,4274.0,6622.0,3969.0,2578.0,1406.0,28,6.0,4.0,5.0,4.0,3.0,28,2.0,3.0,1.0,2.0,1.0,2,2.0,2.0,0.0,15.0,8.5,2.0,4.0,3.0,19.0,13.0,79.5,1
6255.0,8298.0,10507.0,5721.0,5978.0,10040.0,1583.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,3276.0,2644.0,4149.0,2084.0,3524.0,4990.0,182.0,84.0,44.0,128.0,68.0,88.0,234300.0,113765.0,167735.0,81017.0,121884.0,195944.0,1415.0,3847.0,4483.0,5789.0,3239.0,1560.0,30,3.0,2.0,4.5,4.0,2.75,30,1.0,1.5,2.0,1.0,0.5,1,1.0,1.0,1.5,7.5,5.0,0.5,2.5,0.75,2.0,2.5,31.25,0
,,,4623.0,,,,,,0.0,,,,,,0.0,,,,,,1804.0,,,,,,70.0,,,,,,83834.0,,,,,,1880.0,,,33,0.0,0.0,4.0,0.0,0.0,33,2.0,3.0,2.0,1.5,1.0,0,0.0,2.0,3.0,3.0,3.0,1.0,7.5,1.5,0.0,0.0,30.5,0
4510.0,8514.0,10733.0,5879.0,5220.0,10561.0,480.0,910.0,2352.0,1026.0,478.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,2544.0,2629.0,3434.0,2117.0,1407.0,4719.0,112.0,250.0,312.0,4.0,94.0,34.0,128047.0,156817.0,225952.0,113056.0,130066.0,149627.0,1163.0,3022.0,4769.0,5057.0,3756.0,1536.0,36,5.5,4.0,5.0,4.0,2.75,36,2.0,3.0,1.0,0.0,1.0,1,0.0,2.0,3.0,13.0,9.0,2.0,10.0,3.0,16.0,13.0,79.0,1
4678.0,,,4450.0,6380.0,7808.0,530.0,,,739.0,1479.0,516.0,0.0,,,0.0,0.0,0.0,3056.0,,,1528.0,2435.0,6198.0,196.0,,,70.0,198.0,82.0,245312.0,,,160075.0,235202.0,461392.0,1435.0,,,3697.0,4185.0,1558.0,37,0.0,0.0,4.5,3.5,3.0,37,2.0,3.0,1.5,0.75,0.25,2,0.0,2.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,24.5,0
5990.0,8822.0,11363.0,3498.0,5071.0,8692.0,0.0,1369.0,1392.0,1054.0,50.0,736.0,0.0,0.0,0.0,0.0,0.0,0.0,2220.0,1946.0,1930.0,1102.0,127.0,3860.0,16.0,150.0,290.0,30.0,12.0,54.0,86315.0,130336.0,104746.0,91117.0,14382.0,222963.0,3510.0,3969.0,7417.0,964.0,1807.0,1172.0,38,4.0,2.5,4.5,3.5,3.0,38,2.0,3.0,2.0,0.5,1.0,2,2.0,2.0,3.0,15.0,4.0,1.0,2.5,1.5,0.0,0.0,41.5,0
5749.0,8817.0,8812.0,4629.0,6576.0,9474.0,847.0,928.0,3882.0,841.0,926.0,1269.0,52.0,24.0,10.0,20.0,38.0,62.0,3075.0,2956.0,5020.0,2608.0,4016.0,5452.0,370.0,220.0,372.0,112.0,186.0,78.0,153241.0,141344.0,242141.0,114651.0,162972.0,297437.0,1831.0,5302.0,6877.0,2006.0,3825.0,1529.0,39,3.0,1.0,4.5,3.5,2.5,39,2.0,3.0,1.5,0.0,0.5,0,0.0,2.0,0.0,9.0,7.0,1.0,4.0,1.25,17.0,14.0,62.25,1
,7521.0,9265.0,4873.0,4025.0,10929.0,,2021.0,1202.0,688.0,789.0,1206.0,,2.0,0.0,0.0,0.0,0.0,,4664.0,4414.0,3700.0,2088.0,7234.0,,398.0,406.0,88.0,102.0,70.0,,336652.0,178333.0,116606.0,80966.0,273933.0,,4786.0,5793.0,3872.0,3163.0,3209.0,41,5.5,4.0,5.0,4.0,3.25,41,2.0,3.0,2.0,3.0,1.0,2,2.0,2.0,3.0,13.0,10.0,2.0,10.0,3.0,25.0,15.0,98.0,1
3805.0,8631.0,8392.0,4717.0,6375.0,9751.0,1172.0,2385.0,6227.0,2749.0,2122.0,1678.0,0.0,0.0,0.0,2.0,0.0,0.0,2675.0,6024.0,4642.0,4650.0,4144.0,8186.0,12.0,12.0,24.0,60.0,22.0,32.0,292848.0,690445.0,701885.0,480173.0,516556.0,1018632.0,1490.0,7401.0,4901.0,6238.0,4601.0,2975.0,44,5.5,4.0,4.5,4.0,3.0,44,2.0,3.0,1.5,2.5,1.0,2,2.0,2.0,3.0,9.0,8.5,1.0,7.5,3.0,14.0,11.75,73.75,1
7408.0,7994.0,,5466.0,,9070.0,0.0,0.0,,0.0,,614.0,0.0,0.0,,0.0,,0.0,3668.0,3540.0,,3388.0,,6296.0,64.0,54.0,,48.0,,66.0,108789.0,102547.0,,83554.0,,1507096.0,1400.0,2394.0,,1581.0,,1012.0,46,2.0,0.5,4.0,4.0,1.0,46,2.0,3.0,1.0,0.0,1.0,1,0.0,1.0,0.0,3.0,2.5,0.0,0.0,0.0,2.5,0.0,17.0,0
6549.0,8596.0,9400.0,5516.0,4445.0,9181.0,0.0,0.0,2970.0,47.0,139.0,213.0,0.0,0.0,12.0,0.0,2.0,0.0,3962.0,4690.0,4368.0,3213.0,2400.0,5173.0,174.0,384.0,310.0,120.0,146.0,68.0,140568.0,139711.0,316041.0,82841.0,74854.0,158167.0,1350.0,3976.0,2064.0,2062.0,4437.0,1027.0,51,1.0,1.0,4.0,4.0,0.5,51,1.5,1.5,0.25,0.0,1.0,2,1.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,8.75,0
5033.0,8644.0,8673.0,4250.0,5380.0,9177.0,0.0,0.0,0.0,0.0,716.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2518.0,3388.0,4114.0,1226.0,1572.0,0.0,156.0,308.0,336.0,26.0,126.0,0.0,72695.0,77600.0,95103.0,36954.0,106143.0,0.0,1584.0,5576.0,5998.0,1847.0,3639.0,1741.0,52,6.0,4.0,5.0,4.0,2.25,52,2.0,2.0,2.0,0.0,1.0,2,0.0,0.0,0.0,4.0,2.0,0.0,0.0,3.0,8.0,10.0,36.0,0
4190.0,8169.0,9706.0,4698.0,5345.0,5266.0,110.0,1613.0,3532.0,80.0,920.0,762.0,0.0,0.0,0.0,0.0,0.0,0.0,2142.0,2242.0,3558.0,1072.0,1581.0,2182.0,202.0,240.0,372.0,44.0,126.0,76.0,93423.0,167332.0,247153.0,48820.0,141783.0,156805.0,666.0,2033.0,2411.0,1032.0,1451.0,205.0,54,4.5,3.5,4.5,3.5,0.75,54,2.0,3.0,1.0,1.5,1.0,2,0.0,2.0,3.0,15.0,2.0,0.0,5.0,1.5,0.0,0.0,39.0,0
