"('work_time', 1)","('work_time', 2)","('work_time', 3)","('work_time', 4)","('work_time', 5)","('work_time', 6)","('Mouse_wheel', 1)","('Mouse_wheel', 2)","('Mouse_wheel', 3)","('Mouse_wheel', 4)","('Mouse_wheel', 5)","('Mouse_wheel', 6)","('mouse_wheel_click', 1)","('mouse_wheel_click', 2)","('mouse_wheel_click', 3)","('mouse_wheel_click', 4)","('mouse_wheel_click', 5)","('mouse_wheel_click', 6)","('mouse_click_left', 1)","('mouse_click_left', 2)","('mouse_click_left', 3)","('mouse_click_left', 4)","('mouse_click_left', 5)","('mouse_click_left', 6)","('mouse_click_right', 1)","('mouse_click_right', 2)","('mouse_click_right', 3)","('mouse_click_right', 4)","('mouse_click_right', 5)","('mouse_click_right', 6)","('mouse_movement', 1)","('mouse_movement', 2)","('mouse_movement', 3)","('mouse_movement', 4)","('mouse_movement', 5)","('mouse_movement', 6)","('keystroke', 1)","('keystroke', 2)","('keystroke', 3)","('keystroke', 4)","('keystroke', 5)","('keystroke', 6)",Student Id,Session 2,Session 3,Session 4,Session 5,Session 6,Student ID,"ES 1.1 
5206.0,7526.0,7163.0,4748.0,5848.0,9594.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3138.0,3994.0,2374.0,2.0,2130.0,5368.0,168.0,328.0,300.0,0.0,106.0,42.0,132070.0,152673.0,91410.0,509.0,91357.0,193200.0,998.0,3476.0,3081.0,1519.0,1863.0,1104.0,56,2.5,3.0,4.5,3.0,3.0,56,2.0,3.0,2.0,2.5,1.0,2,2.0,1.0,1.5,15.0,10.0,1.5,7.0,2.25,16.5,8.5,77.75,1
,,,4626.0,,9523.0,,,,1644.0,,2006.0,,,,0.0,,0.0,,,,2576.0,,3938.0,,,,10.0,,48.0,,,,169180.0,,266267.0,,,,841.0,,1215.0,57,0.0,0.0,4.5,0.0,2.75,57,0.5,2.0,1.0,0.5,1.0,2,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,5.0,4.0,23.0,0
4845.0,9053.0,9236.0,3994.0,6038.0,8097.0,624.0,1145.0,2341.0,414.0,823.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2538.0,2846.0,3047.0,1592.0,2423.0,2994.0,74.0,190.0,240.0,92.0,90.0,42.0,100384.0,136409.0,159676.0,68437.0,101146.0,91132.0,1290.0,3384.0,3383.0,735.0,1286.0,434.0,59,3.5,2.0,4.0,3.5,2.0,59,1.0,3.0,2.0,0.0,0.5,2,1.0,2.0,1.5,3.0,5.0,1.5,5.25,1.5,2.5,3.0,34.75,0
,,,4615.0,7698.0,8261.0,,,,1435.0,3109.0,1526.0,,,,0.0,2.0,0.0,,,,2819.0,3770.0,4800.0,,,,58.0,178.0,128.0,,,,170089.0,244787.0,306135.0,,,,806.0,3046.0,925.0,60,2.0,0.5,4.0,3.5,1.0,60,2.0,3.0,1.0,0.0,1.0,2,0.0,0.0,0.0,3.0,2.0,1.0,0.0,1.5,0.0,0.0,16.5,0
,7120.0,10830.0,2775.0,7516.0,9138.0,,2417.0,0.0,8.0,60.0,9.0,,0.0,0.0,0.0,0.0,0.0,,2759.0,2974.0,2227.0,3047.0,4805.0,,130.0,208.0,82.0,108.0,84.0,,157020.0,72023.0,91077.0,147628.0,238881.0,,2733.0,7026.0,1431.0,4742.0,1137.0,61,0.0,1.0,4.5,3.5,1.5,61,1.5,1.5,2.0,2.0,1.0,2,0.0,2.0,3.0,15.0,4.0,0.5,3.0,1.0,19.0,0.0,57.5,1
5432.0,,,2887.0,,,481.0,,,0.0,,,0.0,,,0.0,,,3672.0,,,1344.0,,,308.0,,,48.0,,,213042.0,,,39933.0,,,984.0,,,3742.0,,,62,0.0,0.0,4.0,0.0,0.0,62,2.0,3.0,1.5,0.0,1.0,2,2.0,2.0,1.5,3.0,4.5,1.0,3.75,0.75,2.0,2.5,32.5,0
5837.0,8380.0,10133.0,7323.0,6155.0,9417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3004.0,2296.0,3818.0,4901.0,2663.0,4178.0,228.0,114.0,224.0,18.0,92.0,44.0,96470.0,83922.0,147688.0,115609.0,83231.0,128760.0,1332.0,3204.0,4480.0,2164.0,3477.0,1258.0,63,3.5,1.5,5.0,3.5,1.0,63,2.0,3.0,2.0,2.0,1.0,2,2.0,2.0,3.0,7.0,6.0,2.0,10.0,3.0,12.0,10.0,69.0,1
3481.0,14738.0,7498.0,1611.0,5563.0,10510.0,1462.0,6614.0,3067.0,0.0,1430.0,1429.0,0.0,0.0,0.0,0.0,0.0,0.0,2723.0,5793.0,2145.0,740.0,1602.0,5428.0,120.0,574.0,164.0,4.0,56.0,110.0,148894.0,341195.0,129419.0,35198.0,48463.0,413175.0,953.0,5439.0,2960.0,1728.0,3127.0,33973.0,66,0.0,2.0,4.5,3.0,2.25,66,2.0,3.0,2.0,3.0,1.0,2,2.0,2.0,3.0,15.0,10.0,2.0,8.0,3.0,18.0,10.0,86.0,1
4234.0,8948.0,8166.0,3540.0,6189.0,7270.0,457.0,4173.0,4040.0,793.0,3378.0,2649.0,0.0,158.0,24.0,6.0,118.0,170.0,2778.0,4518.0,4887.0,2894.0,4244.0,4276.0,312.0,384.0,348.0,52.0,262.0,102.0,114849.0,421003.0,365681.0,200441.0,313867.0,402330.0,598.0,3882.0,4077.0,1764.0,2848.0,1766.0,67,5.5,4.0,4.5,4.0,2.75,67,2.0,3.0,0.75,1.0,1.0,2,2.0,2.0,3.0,14.75,10.0,2.0,7.5,3.0,19.75,12.5,86.25,1
5386.0,,8220.0,5910.0,4795.0,10257.0,655.0,,1734.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2518.0,,3108.0,1722.0,1490.0,3494.0,220.0,,396.0,46.0,150.0,86.0,240041.0,,316639.0,69533.0,58295.0,148227.0,919.0,,3250.0,3182.0,5014.0,1810.0,68,5.5,3.5,5.0,4.0,3.0,68,2.0,2.5,1.5,3.0,1.0,2,2.0,1.75,3.0,14.0,8.5,2.0,10.0,3.0,12.0,8.5,76.75,1
4340.0,8701.0,8781.0,4670.0,4051.0,10726.0,14.0,0.0,2789.0,1011.0,1246.0,0.0,0.0,2.0,26.0,12.0,0.0,0.0,26.0,4.0,3655.0,3526.0,1956.0,0.0,0.0,0.0,384.0,24.0,108.0,0.0,3102.0,295.0,188496.0,147011.0,97271.0,62.0,1197.0,4715.0,5750.0,252.0,2027.0,2165.0,70,5.5,4.0,5.0,4.0,3.25,70,2.0,3.0,2.0,2.0,1.0,2,2.0,2.0,3.0,15.0,8.5,1.0,0.0,0.0,12.0,5.0,60.5,1
3496.0,8752.0,,2905.0,4268.0,,244.0,731.0,,309.0,872.0,,4.0,0.0,,0.0,0.0,,1652.0,3672.0,,1550.0,1880.0,,122.0,236.0,,54.0,104.0,,113643.0,270724.0,,101767.0,134675.0,,883.0,4644.0,,1474.0,1465.0,,71,5.0,0.0,5.0,3.5,0.0,71,2.0,3.0,2.0,2.0,1.0,2,2.0,2.0,3.0,15.0,10.0,0.5,5.0,1.5,25.0,14.5,90.5,1
,8479.0,7930.0,4807.0,5798.0,7294.0,,2085.0,211.0,1669.0,599.0,680.0,,0.0,0.0,0.0,0.0,0.0,,5864.0,506.0,1914.0,2850.0,5236.0,,480.0,24.0,20.0,128.0,76.0,,317438.0,22214.0,94355.0,219207.0,349756.0,,6111.0,3758.0,3774.0,2730.0,1959.0,72,4.5,3.0,4.0,3.5,2.75,72,2.0,3.0,2.0,2.0,1.0,2,2.0,2.0,3.0,15.0,7.0,2.0,10.0,3.0,24.0,15.0,95.0,1
5118.0,8904.0,8855.0,4519.0,,7828.0,3477.0,12507.0,6534.0,1803.0,,3939.0,0.0,0.0,0.0,0.0,,0.0,2493.0,2489.0,3832.0,1270.0,,3959.0,232.0,306.0,380.0,10.0,,70.0,118390.0,137230.0,372050.0,60679.0,,189470.0,1497.0,4282.0,4667.0,2864.0,,748.0,73,4.5,3.0,4.0,0.0,2.0,73,2.0,3.0,1.0,0.25,1.0,2,1.0,1.0,3.0,9.0,4.0,0.0,0.0,1.5,5.5,4.5,38.75,0
,,9809.0,2707.0,3704.0,9570.0,,,35.0,341.0,531.0,549.0,,,0.0,0.0,0.0,2.0,,,4386.0,1577.0,1816.0,4544.0,,,394.0,16.0,96.0,110.0,,,241109.0,99046.0,102241.0,245126.0,,,3906.0,1163.0,2299.0,566.0,75,0.0,4.0,5.0,4.0,2.0,75,2.0,2.0,2.0,1.5,1.0,2,2.0,2.0,3.0,15.0,10.0,2.0,7.5,1.5,24.0,10.0,87.5,1
5022.0,6487.0,8674.0,5374.0,4970.0,7694.0,810.0,0.0,4083.0,1029.0,1584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3530.0,3497.0,5742.0,5164.0,2600.0,2.0,66.0,26.0,12.0,38.0,14.0,0.0,208143.0,116874.0,398015.0,240048.0,198443.0,3.0,1469.0,6290.0,6005.0,4131.0,4549.0,925.0,76,4.0,4.0,4.0,4.0,2.0,76,2.0,3.0,2.0,1.5,1.0,2,2.0,2.0,2.0,15.0,10.0,2.0,10.0,3.0,24.0,12.0,93.5,1
,,,4720.0,,,,,,1005.0,,,,,,0.0,,,,,,1842.0,,,,,,54.0,,,,,,60151.0,,,,,,1497.0,,,77,0.0,0.0,4.0,0.0,0.0,77,2.0,3.0,1.0,0.5,1.0,2,2.0,2.0,3.0,15.0,4.0,1.5,6.0,1.5,16.0,6.0,66.5,1
4843.0,6678.0,9943.0,4252.0,5355.0,9173.0,564.0,0.0,0.0,0.0,1.0,296.0,8.0,16.0,8.0,0.0,2.0,6.0,1683.0,2672.0,4278.0,2396.0,2122.0,5477.0,4.0,20.0,60.0,96.0,12.0,22.0,143577.0,171272.0,269542.0,153030.0,158560.0,377211.0,1052.0,3748.0,5529.0,1922.0,4052.0,1210.0,78,2.5,3.0,5.0,4.0,2.75,78,2.0,3.0,1.0,2.0,1.0,2,2.0,2.0,3.0,15.0,4.0,0.0,5.0,1.5,24.5,10.0,78.0,1
5039.0,8984.0,9910.0,3863.0,7056.0,9899.0,750.0,1808.0,2726.0,498.0,1013.0,925.0,0.0,0.0,0.0,0.0,0.0,0.0,2570.0,2732.0,3572.0,1378.0,1872.0,3402.0,202.0,238.0,296.0,74.0,106.0,42.0,83697.0,77366.0,107355.0,52755.0,65449.0,105356.0,1242.0,3809.0,5138.0,1660.0,2952.0,1111.0,79,5.0,3.5,4.5,4.0,2.75,79,2.0,3.0,1.0,1.5,0.5,2,2.0,2.0,3.0,13.0,4.0,1.0,9.0,1.5,25.0,14.0,84.5,1
5308.0,8683.0,9872.0,3902.0,5052.0,9183.0,864.0,2470.0,3644.0,1188.0,1602.0,1567.0,0.0,0.0,6.0,0.0,0.0,2.0,3388.0,3396.0,4173.0,2668.0,2558.0,6336.0,308.0,386.0,496.0,92.0,178.0,234.0,230310.0,240595.0,227582.0,209441.0,215053.0,399103.0,918.0,3108.0,4304.0,1110.0,2271.0,1571.0,82,2.5,2.5,4.0,3.5,1.5,82,2.0,3.0,1.0,0.5,1.0,2,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,13.5,0
,8058.0,8804.0,3692.0,3705.0,9370.0,,1703.0,2375.0,673.0,16793.0,8159.0,,0.0,0.0,0.0,0.0,0.0,,3572.0,4148.0,1830.0,1684.0,5976.0,,348.0,401.0,88.0,136.0,92.0,,226018.0,131707.0,64234.0,69106.0,164798.0,,3600.0,5184.0,2153.0,2549.0,854.0,83,4.0,2.5,4.5,4.0,2.0,83,2.0,3.0,2.0,0.25,1.0,1,1.0,2.0,0.0,5.0,4.0,1.25,5.5,0.75,11.5,3.5,43.75,0
4904.0,9006.0,8773.0,5218.0,6393.0,9493.0,187.0,1560.0,0.0,794.0,837.0,63.0,2.0,0.0,0.0,0.0,0.0,0.0,2622.0,3276.0,3154.0,2776.0,3996.0,6501.0,290.0,396.0,400.0,32.0,146.0,162.0,141332.0,224783.0,105221.0,97767.0,217757.0,311123.0,799.0,4330.0,3880.0,2415.0,2925.0,1393.0,87,4.0,3.5,4.5,3.5,2.25,87,2.0,3.0,1.25,1.75,1.0,2,2.0,2.0,3.0,9.0,7.0,1.0,5.0,0.75,9.0,10.5,60.25,1
4819.0,7872.0,10251.0,6174.0,6169.0,9121.0,130.0,1237.0,2334.0,493.0,409.0,1054.0,0.0,0.0,0.0,0.0,0.0,0.0,2430.0,3170.0,4026.0,2466.0,2240.0,6002.0,228.0,260.0,350.0,62.0,122.0,84.0,127606.0,222073.0,329796.0,195298.0,83472.0,421859.0,1389.0,3360.0,6320.0,3893.0,2511.0,1521.0,88,5.0,3.0,5.0,4.0,2.75,88,2.0,3.0,1.0,2.0,1.0,2,2.0,2.0,3.0,15.0,10.0,2.0,8.0,3.0,25.0,15.0,96.0,1
,,7336.0,9229.0,3201.0,9872.0,,,416.0,9.0,56.0,157.0,,,0.0,0.0,0.0,0.0,,,1522.0,5605.0,918.0,1690.0,,,26.0,222.0,40.0,36.0,,,38857.0,86625.0,24224.0,53448.0,,,562.0,64.0,74.0,152.0,89,0.5,1.5,3.5,2.5,0.5,89,2.0,3.0,1.5,0.0,1.0,2,0.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,16.5,0
5950.0,8708.0,9190.0,4473.0,5226.0,9858.0,1049.0,2193.0,5138.0,1319.0,1011.0,282.0,8.0,2.0,6.0,0.0,0.0,0.0,2721.0,3246.0,3826.0,1336.0,1290.0,4050.0,208.0,292.0,402.0,26.0,96.0,94.0,178803.0,226717.0,260483.0,94509.0,99430.0,296648.0,1474.0,4074.0,4587.0,2092.0,526.0,1868.0,91,6.0,4.0,5.0,4.0,2.25,91,2.0,2.0,1.0,2.0,1.0,2,2.0,2.0,3.0,5.0,10.0,0.0,5.5,2.0,17.0,10.0,66.5,1
6156.0,8968.0,9977.0,5506.0,6261.0,9683.0,0.0,0.0,0.0,0.0,579.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2640.0,3598.0,4574.0,1372.0,2616.0,3376.0,58.0,90.0,34.0,66.0,48.0,50.0,106061.0,116378.0,73989.0,44569.0,125715.0,112120.0,2159.0,3720.0,4969.0,2183.0,3060.0,1723.0,92,2.5,2.5,4.5,4.0,1.0,92,1.75,3.0,1.5,0.25,1.0,2,0.0,2.0,0.0,9.0,4.5,0.5,1.25,0.5,0.0,0.0,27.25,0
4162.0,7816.0,9328.0,2945.0,5219.0,9509.0,160.0,875.0,1220.0,196.0,327.0,287.0,0.0,6.0,0.0,0.0,0.0,0.0,2883.0,3034.0,3838.0,1526.0,2506.0,5484.0,34.0,4.0,2.0,62.0,22.0,16.0,167480.0,220866.0,300471.0,98970.0,157471.0,324889.0,1256.0,4492.0,6804.0,820.0,2565.0,1053.0,93,4.0,4.0,4.5,4.0,1.5,93,2.0,3.0,2.0,1.5,1.0,2,2.0,2.0,3.0,3.0,6.0,0.0,0.0,1.5,24.0,13.0,66.0,1
5728.0,8245.0,8732.0,4388.0,5183.0,9611.0,791.0,1996.0,5440.0,1515.0,1350.0,1856.0,2.0,0.0,0.0,0.0,0.0,0.0,3450.0,4129.0,4117.0,1606.0,2174.0,4555.0,262.0,290.0,454.0,16.0,124.0,62.0,183768.0,185463.0,191663.0,79026.0,107653.0,352067.0,860.0,3472.0,3424.0,937.0,1870.0,1584.0,94,5.5,4.0,5.0,4.0,2.75,94,2.0,3.0,1.0,2.0,1.0,2,2.0,2.0,3.0,15.0,8.5,2.0,9.0,2.0,25.0,13.0,92.5,1
,9803.0,9559.0,3817.0,7868.0,10677.0,,2684.0,2408.0,945.0,2119.0,1256.0,,0.0,0.0,0.0,0.0,0.0,,5700.0,5620.0,2794.0,4500.0,5352.0,,436.0,412.0,96.0,130.0,64.0,,331937.0,228609.0,147541.0,178858.0,216747.0,,5407.0,4893.0,1415.0,1283.0,1497.0,95,4.0,3.5,5.0,3.0,3.25,95,2.0,3.0,1.0,0.5,1.0,2,0.0,2.0,3.0,15.0,8.0,0.0,0.0,0.0,10.0,5.0,52.5,1
5439.0,7583.0,,4671.0,5117.0,9366.0,243.0,1497.0,,246.0,527.0,670.0,0.0,0.0,,0.0,0.0,0.0,2939.0,3016.0,,1758.0,1944.0,4136.0,354.0,350.0,,132.0,154.0,88.0,276180.0,192535.0,,169341.0,182609.0,388254.0,825.0,2114.0,,2318.0,2383.0,504.0,96,4.5,0.0,5.0,4.0,2.25,96,2.0,3.0,2.0,1.5,1.0,2,2.0,2.0,3.0,15.0,7.0,2.0,10.0,3.0,12.0,10.0,77.5,1
5950.0,3890.0,10705.0,5172.0,4317.0,9498.0,6948.0,4367.0,3810.0,309.0,710.0,837.0,0.0,0.0,2.0,0.0,0.0,0.0,2046.0,761.0,2808.0,2204.0,2116.0,3940.0,10.0,4.0,12.0,102.0,4.0,2.0,114755.0,33006.0,178930.0,109740.0,106729.0,234755.0,1551.0,1367.0,4581.0,1786.0,1843.0,1229.0,98,3.5,4.0,5.0,4.0,3.0,98,2.0,3.0,1.0,2.0,1.0,2,2.0,2.0,3.0,13.0,10.0,2.0,4.0,1.5,10.0,8.0,66.5,1
,8166.0,9468.0,4122.0,6067.0,9475.0,,0.0,4734.0,1232.0,1436.0,1305.0,,0.0,0.0,0.0,0.0,0.0,,3394.0,4174.0,2662.0,3234.0,5486.0,,290.0,424.0,50.0,98.0,52.0,,67032.0,217221.0,150320.0,162006.0,262013.0,,3161.0,3948.0,1281.0,2417.0,1101.0,99,2.0,2.5,4.0,3.5,1.5,99,1.75,2.5,0.0,0.0,1.0,2,0.0,2.0,1.5,1.0,1.5,0.0,0.0,0.0,0.0,0.0,13.25,0
5898.0,7586.0,9064.0,,5116.0,,826.0,1452.0,3613.0,,906.0,,0.0,0.0,0.0,,0.0,,3675.0,3536.0,4740.0,,2572.0,,212.0,316.0,382.0,,96.0,,188849.0,186833.0,215302.0,,117494.0,,1539.0,3681.0,3722.0,,2763.0,,100,3.5,2.0,0.0,4.0,3.0,100,2.0,3.0,1.0,1.5,1.0,2,2.0,2.0,3.0,13.0,7.0,2.0,8.0,1.5,24.0,10.0,83.0,1
5887.0,8512.0,10619.0,,4248.0,,598.0,0.0,1841.0,,0.0,,0.0,0.0,0.0,,0.0,,2903.0,3116.0,2620.0,,1728.0,,204.0,320.0,234.0,,112.0,,187240.0,238720.0,203206.0,,168574.0,,743.0,2430.0,3322.0,,1325.0,,101,4.5,1.5,0.0,3.5,0.0,101,2.0,2.5,0.75,1.5,1.0,2,0.75,1.0,2.5,4.0,2.0,0.0,0.0,0.75,2.0,2.5,25.25,0
4960.0,7567.0,8645.0,,4617.0,7704.0,803.0,0.0,2263.0,,1022.0,762.0,4.0,0.0,2.0,,0.0,0.0,3547.0,2.0,3939.0,,1721.0,4502.0,50.0,0.0,362.0,,120.0,62.0,185957.0,51.0,161834.0,,104944.0,251622.0,1499.0,3191.0,5429.0,,2576.0,536.0,102,4.5,4.0,4.0,3.5,2.0,102,2.0,3.0,1.0,1.5,1.0,0,0.0,2.0,3.0,12.0,3.0,0.0,0.0,0.0,2.0,1.0,31.5,0
,8533.0,,,6825.0,,,2017.0,,,550.0,,,0.0,,,0.0,,,3152.0,,,3766.0,,,226.0,,,108.0,,,77675.0,,,93561.0,,,5919.0,,,1923.0,,103,2.0,0.0,0.0,3.5,0.0,103,2.0,3.0,1.0,1.5,1.0,2,0.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,0
5129.0,7501.0,,,4244.0,8905.0,0.0,869.0,,,1377.0,1476.0,0.0,0.0,,,0.0,0.0,2000.0,3190.0,,,2444.0,5020.0,140.0,60.0,,,64.0,94.0,48275.0,175926.0,,,129134.0,343956.0,2883.0,4157.0,,,2812.0,1442.0,104,6.0,0.0,4.5,4.0,2.75,104,2.0,3.0,1.0,1.5,1.0,2,2.0,2.0,3.0,15.0,9.0,2.0,8.0,3.0,24.5,13.0,92.0,1
,,8090.0,,,,,,2397.0,,,,,,8.0,,,,,,4506.0,,,,,,368.0,,,,,,960468.0,,,,,,4659.0,,,,106,0.0,3.5,0.0,0.0,0.0,106,2.0,3.0,1.25,0.75,1.0,2,2.0,2.0,3.0,5.0,5.75,0.5,0.75,0.75,16.0,12.5,58.25,1
